,title,price,link
0,MSI Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-062IN Thin and Light La...,"['', '45,990', '64,99029% off']",https://www.flipkart.com/msi-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-modern-14-c7m-062in-thin-light-laptop/p/itm4378d55af2734?pid=COMGMV6VNCJ7TTYV&lid=LSTCOMGMV6VNCJ7TTYVJYI44H&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_caUA2gEvIDf6ZRq5WHPOUf7ubYg_NWGiXAotCbiALr2afWjRtU5QrBykNRGgTFpKjfyTeNULsfS5luuVuEH-Dw%3D%3D&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
1,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA...,"['', '64,990', '93,69030% off']",https://www.flipkart.com/lenovo-ideapad-gaming-3-intel-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15ihu6d2-laptop/p/itm78e98bb9abfb1?pid=COMGBNFUHREA8EJN&lid=LSTCOMGBNFUHREA8EJNCOPCZZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_caUA2gEvIDf6ZRq5WHPOUf7ubYg_NWGiXAotCbiALr0XeDrfhQkGMhgMm8F8RDfKE9xrYZmMMxUAeDD5cDh8qA%3D%3D&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
2,APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"['', '81,990', '99,90017% off']",https://www.flipkart.com/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmde54f026889ce?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMFXEKMGNHZYFH9.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
3,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS ...,"['', '34,990', '56,99038% off']",https://www.flipkart.com/asus-vivobook-15-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej322ws-x515ea-ej328ws-thin-light-laptop/p/itmaafbc240a8774?pid=COMGA5TUCZAV4HGH&lid=LSTCOMGA5TUCZAV4HGHWM8PS0&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGA5TUCZAV4HGH.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
4,realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,"['', '35,990', '54,99934% off']",https://www.flipkart.com/realme-book-slim-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-rmnb1001-thin-light-laptop/p/itm7109ffde0b2cc?pid=COMG5YDPYEB7ZAKK&lid=LSTCOMG5YDPYEB7ZAKKVEOVUY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMG5YDPYEB7ZAKK.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
5,Lenovo Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN Laptop,"['', '26,989', '46,09041% off']",https://www.flipkart.com/lenovo-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-81wq00mqin-81wq00nxin-laptop/p/itm2560cd9192f02?pid=COMGDMXVJJB2HGMY&lid=LSTCOMGDMXVJJB2HGMYLAIFLM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGDMXVJJB2HGMY.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
6,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light La...,"['', '44,990', '69,99035% off']",https://www.flipkart.com/asus-vivobook-15-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej522ws-thin-light-laptop/p/itm85cfbc3a2e8a7?pid=COMGFHNGGWNDVGSY&lid=LSTCOMGFHNGGWNDVGSY5C6JML&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGFHNGGWNDVGSY.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
7,MSI Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin and Light Lap...,"['', '43,990', '61,99029% off']",https://www.flipkart.com/msi-ryzen-5-hexa-core-7530u-8-gb-512-gb-ssd-windows-11-home-modern-14-c7m-063in-thin-light-laptop/p/itm30199c1f4a132?pid=COMGMV6VHGPAGP55&lid=LSTCOMGMV6VHGPAGP553JIQX6&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_caUA2gEvIDf6ZRq5WHPOUf7ubYg_NWGiXAotCbiALr1oRrbsaH5ybsuycMjg9xL05KaC3n2L2GgzeHQ8dUipTA%3D%3D&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
8,HP 15s (2023) Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light L...,"['', '42,490', '51,26617% off']",https://www.flipkart.com/hp-15s-2023-intel-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fy5003tu-thin-light-laptop/p/itm2260c2112e85a?pid=COMGZVGHE9QU8C6M&lid=LSTCOMGZVGHE9QU8C6M1AFYO2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGZVGHE9QU8C6M.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
9,DELL Inspiron Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop,"['', '38,490', '59,11934% off']",https://www.flipkart.com/dell-inspiron-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-3511-thin-light-laptop/p/itma07f53e68b4af?pid=COMGF478WJG7FDQQ&lid=LSTCOMGF478WJG7FDQQDGMUKW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGF478WJG7FDQQ.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
10,Lenovo IdeaPad Gaming 3 Intel Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,"['', '99,990', '1,53,89035% off']",https://www.flipkart.com/lenovo-ideapad-gaming-3-intel-core-i7-12th-gen-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3060-16iah7-laptop/p/itm63a7820631e7e?pid=COMGHMH6ZCGDH57Y&lid=LSTCOMGHMH6ZCGDH57YRXUZUB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_caUA2gEvIDf6ZRq5WHPOUf7ubYg_NWGiXAotCbiALr2qZJLJqTK4FaEF6lH9IUzGKdYxXFpHMatk2hQW4W-eqQ%3D%3D&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
11,HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop,"['', '35,990', '47,27923% off']",https://www.flipkart.com/hp-14s-intel-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-dy2507tu-thin-light-laptop/p/itm183e95bd1f23b?pid=COMGG63H9BFFUYVY&lid=LSTCOMGG63H9BFFUYVYFHH552&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGG63H9BFFUYVY.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
12,HP 15s (2023) Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15s-fr4001TU Thin and Light ...,"['', '58,990', '59,237']",https://www.flipkart.com/hp-15s-2023-intel-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-15s-fr4001tu-thin-light-laptop/p/itm2420d6e75acdb?pid=COMGZNSB6GCJVUPX&lid=LSTCOMGZNSB6GCJVUPXOWTDNN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGZNSB6GCJVUPX.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
13,Lenovo IdeaPad 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | ...,"['', '36,950', '55,49033% off']",https://www.flipkart.com/lenovo-ideapad-3-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-82h801l7in-82h802fjin-82h802l3in-82h801lhin-82h803e6in-thin-light-laptop/p/itmd8891a36fdd7c?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=FkPickId_6bo%2Fb5g&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMG9VHHG6Q3RRJX.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
14,HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop,"['', '47,990', '59,10918% off']",https://www.flipkart.com/hp-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15s-eq2182au-thin-light-laptop/p/itm09b322c037285?pid=COMGFRHGDB9G3Z9C&lid=LSTCOMGFRHGDB9G3Z9CBGKRA6&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGFRHGDB9G3Z9C.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
15,HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,"['', '38,990', '49,50921% off']",https://www.flipkart.com/hp-14s-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-dy2508tu-thin-light-laptop/p/itm49f4531237a12?pid=COMGGTT4VFWG3FFM&lid=LSTCOMGGTT4VFWG3FFMB7VNLU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGGTT4VFWG3FFM.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
16,HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light...,"['', '34,990', '39,99512% off']",https://www.flipkart.com/hp-15s-2023-ryzen-3-dual-core-3250u-8-gb-512-gb-ssd-windows-11-home-15s-eq1580au-thin-light-laptop/p/itm38089bbd52842?pid=COMGZYRYCB3JVMJS&lid=LSTCOMGZYRYCB3JVMJSLOJRY5&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGZYRYCB3JVMJS.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
17,Acer Aspire 7 Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"['', '54,999', '81,99932% off']",https://www.flipkart.com/acer-aspire-7-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-a715-42g-gaming-laptop/p/itm6c8f103ded406?pid=COMGCRQZQDZRA53F&lid=LSTCOMGCRQZQDZRA53FDXCUQK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGCRQZQDZRA53F.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
18,HP 247 G8 Athlon Dual Core - (8 GB/1 TB HDD/Windows 11 Home) 247 G8 Notebook Notebook,"['', '23,480', '33,26729% off']",https://www.flipkart.com/hp-247-g8-athlon-dual-core-8-gb-1-tb-hdd-windows-11-home-notebook/p/itm41d5f6caf32be?pid=COMGEFYGG4HXWVWY&lid=LSTCOMGEFYGG4HXWVWY1SXCDY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGEFYGG4HXWVWY.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
19,ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID...,"['', '54,990', '75,99027% off']",https://www.flipkart.com/asus-tuf-gaming-a15-ryzen-5-hexa-core-amd-r5-4600h-8-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-gtx-1650-144-hz-fa506ihrz-hn112w-laptop/p/itm20d472c5059c0?pid=COMGGJZFJRZY45WX&lid=LSTCOMGGJZFJRZY45WXD02LFG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGGJZFJRZY45WX.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
20,MSI Bravo 15 Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX650...,"['', '55,990', '69,99020% off']",https://www.flipkart.com/msi-bravo-15-ryzen-7-octa-core-5800h-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx6500m-144-hz-b5ed-034in-gaming-laptop/p/itm30805deb712b3?pid=COMGNY4FMEF9ZWT2&lid=LSTCOMGNY4FMEF9ZWT2AGD7JA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGNY4FMEF9ZWT2.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
21,MSI Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) GF63 T...,"['', '52,990', '70,99025% off']",https://www.flipkart.com/msi-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-gf63-thin-11sc-1400in-gaming-laptop/p/itme1cd22d7a827c?pid=COMGZ4PN68RBKGFQ&lid=LSTCOMGZ4PN68RBKGFQXSVDPX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGZ4PN68RBKGFQ.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
22,Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graph...,"['', '55,990', '88,09036% off']",https://www.flipkart.com/lenovo-ideapad-gaming-3-ryzen-5-hexa-core-5600h-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-120-hz-gaming3-15ach6d1-laptop/p/itmabd3d828c1ad1?pid=COMGHMH6JRYP56GE&lid=LSTCOMGHMH6JRYP56GE4TQDME&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGHMH6JRYP56GE.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
23,HP 15s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fr2511TU Thin and Light Laptop,"['', '38,990', '49,42521% off']",https://www.flipkart.com/hp-15s-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fr2511tu-thin-light-laptop/p/itm89ae6cdc52fdc?pid=COMGG3S9ZPRYMXS5&lid=LSTCOMGG3S9ZPRYMXS5KUZQFI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=a532cf2c-55c2-4033-a7dd-334f6fa97099.COMGG3S9ZPRYMXS5.SEARCH&ppt=None&ppn=None&ssid=pz06t3hn1c0000001688283883844&qH=312f91285e048e09
